gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1913592463	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1398312	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Estrada de Alvorada (S. José)	Paraná	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									1979-03-28T00:00:00	28	3	1979	3129176	3129176	PRESERVED_SPECIMEN	JBRJ	RB	RB01398312	17	G. Hatschbach	1979-05-14T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	E. Buttura			2021-05-06T14:37:53.326Z		INSTITUTION_MATCH_NONE
1913587118	3345dcbc-a43d-4307-9cd8-084cb293d6bb	BRA:UFOP:OUPR:27969	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	São Bartolomeu, APA da Cachoeira das Andorinhas.	Minas Gerais	PRESENT		99e6e602-8dbd-46fe-aebb-ab1993168565	-20.385556	-43.508056			1028.0	0.0			2012-07-24T00:00:00	24	7	2012	3129176	3129176	PRESERVED_SPECIMEN	UFOP	OUPR	27969	s.n.	Messias, M.C.T.B.		CC_BY_NC_4_0	"OUPR - Herbário ""Professor José Badini"""	Prado, A.C.; Rangel, E.B. & Messias, M.C.T.B.			2021-05-08T12:15:19.646Z		GEODETIC_DATUM_ASSUMED_WGS84
1913577744	16ed67e5-fd70-4fd4-85c3-70ea2da627fe	BRA:IF:SPSF:52901	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR		Sp	PRESENT		52603cfd-d564-4e89-a466-5e71813677be	-23.141667	-44.925556			1216.0	0.0			2018-03-23T00:00:00	23	3	2018	3129176	3129176	PRESERVED_SPECIMEN	IF	SPSF	52901	1059	A.Maruyama	2018-03-23T00:00:00	CC_BY_NC_4_0	SPSF - Herbário Dom Bento José Pickel	A.Maruyama & L.Cicco			2021-05-08T12:15:25.104Z		GEODETIC_DATUM_ASSUMED_WGS84
1913566274	eb63cc46-126f-43b2-9c3e-0f03a97e0638	BRA:UFVJM:HDJF:5341	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	Cava Sul - Anglo American	Minas Gerais	PRESENT		60f97f47-cd0d-4ff5-b0c0-c98495bf430a	-18.912189	-43.419133			718.0	0.0			2016-01-13T00:00:00	13	1	2016	3129176	3129176	PRESERVED_SPECIMEN	Universidade Federal dos Vales do Jequitinhonha e Mucuri	HDJF	5341	1847	Hattori, EK	2016-01-01T00:00:00	CC_BY_NC_4_0	HDJF - Herbário Dendrológico Jeanine Felfili	Moreira, SN; Pereira, E			2021-05-08T12:05:46.700Z		GEODETIC_DATUM_ASSUMED_WGS84
1912807333	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1397639	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Rio do Jango	Santa Catarina	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	-27.539444	-49.68							2010-04-30T00:00:00	30	4	2010	3129176	3129176	PRESERVED_SPECIMEN	JBRJ	RB	RB01397639	3021	M. Sobral	2010-08-15T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	A. Korte; A. Kniess			2021-05-06T14:37:53.783Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE
1889187311	7741a517-ab3d-4b85-ae58-56322e44c8ce	BRA:UNICAMP:UEC:200873	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	A.DC.	BR	Unidade de Desenvolvimento Ambiental - UNIDAM	São Paulo	PRESENT		d073b448-6b80-4364-8c38-18d08b88797f	-23.268961	-47.496267			749.0	0.0			2018-04-19T00:00:00	19	4	2018	3129176	3129176	PRESERVED_SPECIMEN	UNICAMP	UEC	200873	427	Monge, M	2018-05-18T00:00:00	CC_BY_NC_4_0	UEC - Herbário da Universidade Estadual de Campinas	Silva, BG; Bissoli, VF; Duarte, LSC			2021-05-08T12:45:56.425Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE
1889185823	f9040e31-ee85-4b92-9963-a0272a44ec96	BRA:UFMT:UFMT:43454	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	Morro do Canal.	Paraná	PRESENT		a84dccda-c5b2-4319-abbf-3c24601e89a2									2017-11-10T00:00:00	10	11	2017	3129176	3129176	PRESERVED_SPECIMEN	UFMT	UFMT	43454	74	Santos, F.P.; Twardowschy, M.C.	2017-11-01T00:00:00	CC_BY_NC_4_0	UFMT - Herbário UFMT	Santos, F.P.; Twardowschy, M.C.; Bianco, S.Y.			2021-05-08T12:22:29.776Z		
1882902767	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1394574	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Conglomerado: 81. Subunidade: 3. Subparcela: 10. Árvore: 1RN.  UTM 22K 432561 E - 7412046 S	Paraná	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									2015-06-08T00:00:00	8	6	2015	3129176	3129176	PRESERVED_SPECIMEN	JBRJ	RB	RB01394574	284	J. Cordeiro	2015-07-24T00:00:00	CC_BY_4_0	Rio de Janeiro Botanical Garden	L. G. C. Rigon			2021-05-06T14:38:15.572Z		RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE
1880799897	4300f8d5-1ae5-49e5-a101-63894b005868	urn:catalog:JBRJ:RB:1394227	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia DC.	DC.	BR	Conglomerado: 303-L. Subunidade: 4. Subparcela: 3. Árvore: 6.  UTM 22J 7237479 S - 596897 E	Paraná	PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a									2016-11-14T00:00:00	14	11	2016	3129176	3129176	PRESERVED_SPECIMEN	JBRJ	RB	RB01394227	4011	F. Marinero		CC_BY_4_0	Rio de Janeiro Botanical Garden	A. A. Oliveira			2021-05-06T14:38:19.712Z		INSTITUTION_MATCH_NONE
1872034685	2273e40d-26c2-4959-aea2-b6abcce16d09	BRA:UFRGS:ICN:198511	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Baccharis	Baccharis dracunculifolia		SPECIES	Baccharis dracunculifolia DC.	Baccharis dracunculifolia	DC.	BR	Herval. RS 265, logo após a divisa com São Lourenço do Sul.	Rs	PRESENT		04481953-6112-489f-bb8d-9703d787e3ea	-31.265833	-52.460833							2009-11-21T00:00:00	21	11	2009	3129176	3129176	PRESERVED_SPECIMEN	UFRGS	ICN	198511	1137	Heiden, G	2009-11-21T00:00:00	CC_BY_NC_4_0	ICN - Herbário do Instituto de Ciências Naturais	Heiden, G; Stein, TB			2021-05-08T12:34:34.331Z		GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION
