"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_6_F_qpth_set1",1.51584232615272,0,0.04,6410.81715902281,66.2887385012482,3.13263644661586e-17,22
"M_6_F_qpth_set2",1.47843115174926,0,0.02,6437.02804529314,92.4996247715762,6.42207343607671e-23,14
"M_6_F_lqpth_set1",1.53148107724758,0,0.04,6418.12273405211,73.5943135305506,8.24755026814059e-19,25
"M_6_F_lqpth_set2",1.4765812789791,0,0.02,6432.91033091795,88.3819103963879,5.11304579870273e-22,12
"M_8_F_l_set1",1.17465833870244,0,0.02,6717.72351406233,373.195093540765,7.34092559800907e-84,4
"M_8_F_l_set2",1.1197713041225,0,0.08,6736.4104380909,391.882017569334,6.47787839251316e-88,3
"M_8_F_q_set1",1.4323708729951,0,0.02,6497.11061486838,152.582194346822,6.00141275710456e-36,4
"M_8_F_q_set2",1.45705279014655,0,0.02,6534.28456541521,189.75614489365,5.12372566039601e-44,3
"M_8_F_p_set1",1.48463034779396,0,0.04,6450.78378137977,106.255360858212,7.00056700308091e-26,6
"M_8_F_p_set2",1.47183893035538,0,0.04,6472.62986375602,128.101443234462,1.27329483816629e-30,3
"M_8_F_t_set1",1.48602946805157,0,0.04,6464.65185198781,120.123431466247,6.93385563435352e-29,14
"M_8_F_t_set2",1.43955574003014,0,0.04,6493.70428784247,149.175867320906,3.4355153200347e-35,12
"M_8_F_h_set1",1.53996451171483,0,0.02,6418.17791693998,73.6494964184158,8.71043148283647e-19,18
"M_8_F_h_set2",1.5457081497127,0,0.02,6451.13078831285,106.602367791291,6.13975671246652e-26,17
"M_8_F_lq_set1",1.47886192870849,0,0.02,6472.16573983035,127.637319308792,1.67586294722021e-30,7
"M_8_F_lq_set2",1.44081178357482,0,0.02,6478.32635987208,133.797939350516,7.76745726079995e-32,5
"M_8_F_lp_set1",1.48127303040627,0,0.02,6444.31859782649,99.7901773049289,1.90022999105656e-24,7
"M_8_F_lp_set2",1.46547950458016,0,0.02,6465.48857328541,120.960152763852,4.84924559909408e-29,4
"M_8_F_lt_set1",1.45074871567943,0,0.04,6462.94739124141,118.418970719844,1.74336938750382e-28,14
"M_8_F_lt_set2",1.40635460352826,0,0.06,6490.47251780622,145.944097284661,1.85491543175366e-34,12
"M_8_F_lh_set1",1.52980190965267,0,0.02,6431.08731489022,86.5588943686553,1.47106933141548e-21,23
"M_8_F_lh_set2",1.52003270092046,0,0.02,6450.95963631125,106.43121578969,7.184990074649e-26,17
"M_8_F_qp_set1",1.50833602720772,0,0.02,6441.82995341519,97.3015328936235,6.96565317265151e-24,7
"M_8_F_qp_set2",1.47031292022412,0,0.02,6464.88339317635,120.354972654789,6.93520588936802e-29,4
"M_8_F_qt_set1",1.49594170277355,0,0.02,6456.11120209499,111.582781573425,5.62397851207629e-27,9
"M_8_F_qt_set2",1.46265295197714,0,0.02,6492.80337919167,148.274958670112,6.11794310049064e-35,8
"M_8_F_qh_set1",1.56828289648338,0,0.02,6423.50086722613,78.9724467045708,6.91292532283717e-20,20
"M_8_F_qh_set2",1.54064938363852,0,0.02,6454.3964816887,109.868061167141,1.36462319944351e-26,17
"M_8_F_pt_set1",1.47872725308649,0,0.04,6430.13376421123,85.6053436896709,2.5579096474962e-21,9
"M_8_F_pt_set2",1.46669535001782,0,0.04,6453.98384516189,109.455424640324,1.71095671431651e-26,4
"M_8_F_ph_set1",1.48155635102064,0,0.04,6431.05582422674,86.5274037051777,1.64578187509314e-21,22
"M_8_F_ph_set2",1.4610295237202,0,0.02,6451.96384416267,107.435423641104,4.79374310279574e-26,13
"M_8_F_th_set1",1.53175638632404,0,0.02,6413.58630745976,69.0578869382025,1.04404150649382e-17,16
"M_8_F_th_set2",1.53813253675511,0,0.02,6446.27679227463,101.74837175307,8.4058647912764e-25,15
"M_8_F_lqp_set1",1.49763097783557,0,0.02,6441.83233938494,97.3039188633802,7.83869371897063e-24,7
"M_8_F_lqp_set2",1.46431381153571,0,0.02,6464.87683389495,120.348413373385,7.84881887744769e-29,4
"M_8_F_lqt_set1",1.50489466249006,0,0.02,6459.23571991736,114.707299395795,1.33172666591981e-27,11
"M_8_F_lqt_set2",1.43671812157969,0,0.02,6476.31764641286,131.789225891294,2.62924375479999e-31,7
"M_8_F_lqh_set1",1.54705064315979,0,0.02,6420.86470916708,76.3362886455216,2.92444702551487e-19,19
"M_8_F_lqh_set2",1.49395235801373,0,0.02,6460.84301480901,116.314594287452,6.16138483982554e-28,19
"M_8_F_lpt_set1",1.4899275521963,0,0.02,6429.95496259569,85.4265420741276,3.17541829387513e-21,9
"M_8_F_lpt_set2",1.478898471206,0,0.02,6453.98326809891,109.454847577352,1.9455534037731e-26,4
"M_8_F_lph_set1",1.49612457286941,0,0.04,6431.05582422674,86.5274037051777,1.8734979710968e-21,22
"M_8_F_lph_set2",1.46453769123713,0,0.02,6451.96384416267,107.435423641104,5.4647590552006e-26,13
"M_8_F_lth_set1",1.52274645602134,0,0.02,6423.15727393886,78.6288534172963,9.95254145386616e-20,20
"M_8_F_lth_set2",1.54497101908857,0,0.02,6446.27679227463,101.74837175307,9.61060235554376e-25,15
"M_8_F_qpt_set1",1.49448630661889,0,0.02,6431.9796853525,87.4512648309337,1.23750259034568e-21,8
"M_8_F_qpt_set2",1.46679533564279,0,0.02,6461.488971277,116.960550755433,4.89742443421279e-28,5
"M_8_F_qph_set1",1.50685271616803,0,0.02,6430.05105593729,85.5226354157248,3.32637335347867e-21,18
"M_8_F_qph_set2",1.47514032103915,0,0.02,6456.49955563549,111.971135113928,6.08366894986139e-27,12
"M_8_F_qth_set1",1.55755077403845,0,0.02,6413.94547752816,69.4170570065999,1.07188420244164e-17,16
"M_8_F_qth_set2",1.54475204318617,0,0.02,6463.88987624115,119.361455719587,1.55028379683522e-28,21
"M_8_F_pth_set1",1.49896042855526,0,0.04,6428.45126135033,83.922840828769,7.78811333825987e-21,21
"M_8_F_pth_set2",1.45550583461234,0,0.02,6445.48704459216,100.958624070597,1.57708942138788e-24,10
"M_8_F_lqpt_set1",1.49953278037823,0,0.02,6431.9796853525,87.4512648309337,1.36998316720998e-21,8
"M_8_F_lqpt_set2",1.47145715711,0,0.02,6461.488971277,116.960550755433,5.42882833284213e-28,5
"M_8_F_lqph_set1",1.50319497221947,0,0.02,6430.05105593729,85.5226354157248,3.69227030103968e-21,18
"M_8_F_lqph_set2",1.47690581794213,0,0.02,6459.07541873922,114.546998217658,1.86528887410149e-27,13
"M_8_F_lqth_set1",1.53046865247325,0,0.02,6418.25445406833,73.7260335467718,1.38357685117054e-18,18
"M_8_F_lqth_set2",1.48298619608155,0,0.02,6470.56961102157,126.041190500013,6.12484998011026e-30,23
"M_8_F_lpth_set1",1.49823857262474,0,0.04,6428.45126135033,83.922840828769,8.69465540838628e-21,21
"M_8_F_lpth_set2",1.45671810893518,0,0.02,6445.48704459216,100.958624070597,1.76337424083758e-24,10
