"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.9_F_lqpt_Set_1",1.41640853816044,0,0.0517241379310345,6112.66947359793,59.1111489876812,5.74795931862097e-17,63
"M_0.9_F_lqpt_Set_10",1.39749698605552,0,0.0517241379310345,6129.13208023633,75.5737556260756,1.53064740019093e-20,70
"M_0.9_F_lqpt_Set_2",1.39062617204901,0,0.0517241379310345,6135.19338808451,81.6350634742585,7.39349924135498e-22,68
"M_0.9_F_lqpt_Set_3",1.39826854534764,0,0.0517241379310345,6104.04648824351,50.4881636332584,4.29026990624018e-15,61
"M_0.9_F_lqpt_Set_4",1.39424962184818,0,0.0517241379310345,6103.41369796208,49.8553733518256,5.88931201818259e-15,63
"M_0.9_F_lqpt_Set_5",1.39287248536408,0,0.0517241379310345,6110.26429042944,56.7059658191874,1.91711720040216e-16,64
"M_0.9_F_lqpt_Set_6",1.42604199197137,0,0.0517241379310345,6107.61511387875,54.0567892684967,7.21242753889999e-16,65
"M_0.9_F_lqpt_Set_7",1.40131066837538,0,0.0517241379310345,6108.02903295701,54.4707083467574,5.86639855894646e-16,64
"M_0.9_F_lqpt_Set_8",1.40967094961566,0,0.0517241379310345,6095.21454045407,41.6562158438146,3.55774496272283e-13,61
"M_0.9_F_lqpt_Set_9",1.35795674801322,0,0.0517241379310345,6107.22487771334,53.6665531030849,8.77677242096337e-16,63
"M_0.9_F_lqph_Set_1",1.44371172835264,0,0.0517241379310345,6219.18893626979,165.630611659537,4.27385838504698e-40,71
"M_0.9_F_lqph_Set_10",1.46098613118855,0,0.0517241379310345,6196.68635610954,143.12803149929,3.29128191336337e-35,68
"M_0.9_F_lqph_Set_2",1.45116309844685,0,0.0517241379310345,6202.04556128935,148.487236679099,2.25839702021741e-36,68
"M_0.9_F_lqph_Set_3",1.44815159196859,0,0.0517241379310345,6194.62864115095,141.070316540695,9.2158613428592e-35,66
"M_0.9_F_lqph_Set_4",1.46731555098691,0,0.0517241379310345,6168.72742527891,115.169100668658,3.88226752732286e-29,61
"M_0.9_F_lqph_Set_5",1.44058810142268,0,0.0517241379310345,6168.2132167692,114.654892158949,5.02245957778985e-29,61
"M_0.9_F_lqph_Set_6",1.45033126515596,0,0.0517241379310345,6170.86366338039,117.305338770134,1.3352155483183e-29,62
"M_0.9_F_lqph_Set_7",1.45077693003838,0,0.0517241379310345,6235.73327818822,182.174953577965,1.09512998907488e-43,75
"M_0.9_F_lqph_Set_8",1.46281530617631,0,0.0517241379310345,6152.7094802801,99.151155669847,1.16957090837638e-25,57
"M_0.9_F_lqph_Set_9",1.44751201465878,0,0.0517241379310345,6175.12428214432,121.565957534068,1.58813157543789e-30,63
"M_0.9_F_lqth_Set_1",1.4146281588423,0,0.0517241379310345,6114.58812281229,61.0297982020338,2.21982547085826e-17,62
"M_0.9_F_lqth_Set_10",1.38742157249794,0,0.0517241379310345,6144.47351264625,90.9151880359959,7.1938491136842e-24,72
"M_0.9_F_lqth_Set_2",1.40115030937404,0,0.0517241379310345,6139.47183530645,85.9135106961976,8.77474024206337e-23,68
"M_0.9_F_lqth_Set_3",1.42403302832592,0,0.0517241379310345,6162.60136646907,109.043041858822,8.33475754664935e-28,72
"M_0.9_F_lqth_Set_4",1.3954832267699,0,0.0517241379310345,6145.38984495243,91.8315203421735,4.55512215521447e-24,71
"M_0.9_F_lqth_Set_5",1.40150351509057,0,0.0517241379310345,6137.84207393489,84.2837493246388,1.9844967661717e-22,69
"M_0.9_F_lqth_Set_6",1.41940677864707,0,0.0517241379310345,6166.41816016366,112.859835553403,1.2376700971239e-28,76
"M_0.9_F_lqth_Set_7",1.40205359011906,0,0.0517241379310345,6128.11258676433,74.5542621540772,2.57470412152889e-20,67
"M_0.9_F_lqth_Set_8",1.42408769656091,0,0.0517241379310345,6156.8766234718,103.318298861543,1.46173632859614e-26,72
"M_0.9_F_lqth_Set_9",1.37964389883847,0,0.0517241379310345,6151.21427601649,97.6559514062365,2.48087657727937e-25,71
"M_0.9_F_lpth_Set_1",1.4083060397535,0,0.0517241379310345,6129.60325755026,76.0449329400108,1.22335148303482e-20,67
"M_0.9_F_lpth_Set_10",1.38709753111451,0,0.0517241379310345,6121.31297752708,67.7546529168239,7.72566398714116e-19,69
"M_0.9_F_lpth_Set_2",1.39201060607217,0,0.0517241379310345,6156.67284620892,103.114521598667,1.62110478862605e-26,73
"M_0.9_F_lpth_Set_3",1.39848367064154,0,0.0517241379310345,6121.23026078669,67.6719361764335,8.05831040446029e-19,65
"M_0.9_F_lpth_Set_4",1.3905189367571,0,0.0517241379310345,6105.48102621033,51.9227016000805,2.11992337632927e-15,64
"M_0.9_F_lpth_Set_5",1.39860882828051,0,0.0517241379310345,6128.82146066792,75.2631360576706,1.81210193509623e-20,68
"M_0.9_F_lpth_Set_6",1.4150391066014,0,0.0517241379310345,6129.78054728511,76.2222226748599,1.12225897182974e-20,70
"M_0.9_F_lpth_Set_7",1.39365951917755,0,0.0517241379310345,6133.3905805993,79.8322559890512,1.84653632745306e-21,70
"M_0.9_F_lpth_Set_8",1.40934284765365,0,0.0517241379310345,6117.3887204104,63.830395800147,5.51177219403004e-18,66
"M_0.9_F_lpth_Set_9",1.36656526234457,0,0.0517241379310345,6122.59484628486,69.036521674604,4.08290309749945e-19,66
"M_0.9_F_qpth_Set_1",1.4109538936947,0,0.0517241379310345,6135.78854252327,82.2302179130156,5.5740144309682e-22,68
"M_0.9_F_qpth_Set_10",1.38506118342032,0,0.0517241379310345,6138.22943166983,84.671107059582,1.64554425606014e-22,72
"M_0.9_F_qpth_Set_2",1.39786653178008,0,0.0517241379310345,6153.34686714568,99.788542535427,8.58566728387472e-26,72
"M_0.9_F_qpth_Set_3",1.40019249997139,0,0.0517241379310345,6118.08743478625,64.5291101759994,3.89436335437467e-18,64
"M_0.9_F_qpth_Set_4",1.39436491944044,0,0.0517241379310345,6131.73276219896,78.1744375887029,4.24194761618107e-21,69
"M_0.9_F_qpth_Set_5",1.38286181656371,0,0.0517241379310345,6130.4340464687,76.8757218584487,8.12366375388884e-21,68
"M_0.9_F_qpth_Set_6",1.41165709287384,0,0.0517241379310345,6151.72870730676,98.1703826965049,1.93129787043295e-25,74
"M_0.9_F_qpth_Set_7",1.40449978276862,0,0.0517241379310345,6121.59414986384,68.0358252535916,6.75553125889733e-19,67
"M_0.9_F_qpth_Set_8",1.40838974253094,0,0.0517241379310345,6132.95896126434,79.400636654088,2.30142262609994e-21,69
"M_0.9_F_qpth_Set_9",1.37307998665694,0,0.0517241379310345,6130.17413097169,76.6158063614394,9.26592910871468e-21,68
"M_0.9_F_lqpth_Set_1",1.41307419900474,0,0.0517241379310345,6124.18742811362,70.6291035033646,1.84952170117023e-19,66
"M_0.9_F_lqpth_Set_10",1.39305898622023,0,0.0517241379310345,6143.78734477528,90.229020165023,1.0260443323657e-23,73
"M_0.9_F_lqpth_Set_2",1.3920222881301,0,0.0517241379310345,6152.4553291887,98.8970045784463,1.34620691251733e-25,72
"M_0.9_F_lqpth_Set_3",1.39767194703801,0,0.0517241379310345,6149.28088112494,95.7225565146846,6.58580876123823e-25,71
"M_0.9_F_lqpth_Set_4",1.39871733462726,0,0.0517241379310345,6131.73276219896,78.1744375887029,4.25901779975494e-21,69
"M_0.9_F_lqpth_Set_5",1.38751693427841,0,0.0517241379310345,6131.14238578214,77.5840611718868,5.72377912532858e-21,68
"M_0.9_F_lqpth_Set_6",1.40106281727889,0,0.0517241379310345,6151.79121404746,98.2328894372031,1.87941051097349e-25,74
"M_0.9_F_lqpth_Set_7",1.41208514471,0,0.0517241379310345,6130.07128512154,76.5129605112879,9.78631596443314e-21,69
"M_0.9_F_lqpth_Set_8",1.42772301506875,0,0.0517241379310345,6132.75752425326,79.1991996430061,2.55555263377585e-21,69
"M_0.9_F_lqpth_Set_9",1.36242476028233,0,0.0517241379310345,6126.40179180042,72.8434671901705,6.1346484403064e-20,67
"M_1_F_l_Set_1",1.16514625498917,0,0.0517241379310345,6381.67256942937,328.114244819118,2.27310645699989e-75,6
"M_1_F_l_Set_10",1.21718493239852,0,0.0517241379310345,6281.7157067489,228.157382138643,1.15385688367278e-53,7
"M_1_F_l_Set_2",1.143651344071,0,0.0517241379310345,6394.60443669629,341.04611208604,3.538759089365e-78,7
"M_1_F_l_Set_3",1.21578741648286,0,0.0517241379310345,6287.32671278711,233.768388176859,6.98374102531134e-55,7
"M_1_F_l_Set_4",1.21573929739382,0,0.0517241379310345,6283.3340847021,229.775760091851,5.14341699878794e-54,6
